contact_id,message_id,predicted_delivered_probability,predicted_read_probability,predicted_responded_probability,predicted_converted_probability,predicted_opted_out_probability,city_tier,age_group,device_type,signup_channel,tenure_days
CUST00069,MSG000493,0.7889214653711271,0.7320662147653788,0.4688657806282181,0.5747701977909945,0.2494461102923612,Tier 1,25-34,Android,Website Signup,407
CUST00079,MSG000563,0.8305141336487613,0.4722863634071514,,,0.2810202248300763,Tier 2,45-54,iOS,Website Signup,497
CUST00087,MSG000618,0.726864650132906,0.5144135237843489,0.4768871142175776,,0.1276268846203644,Tier 2,25-34,Android,In-Store,57
CUST00025,MSG000178,0.8780072215733814,0.4891599908624235,,,0.0364563126713363,Tier 2,18-24,Android,Social Ads,564
CUST00080,MSG000567,0.7970315016118387,0.3367554506537286,,,0.3168832099406401,Tier 2,35-44,iOS,In-Store,570
CUST00043,MSG000303,0.8107395822285236,0.3016899088775428,,,0.3734273055266532,Tier 2,45-54,Android,Social Ads,819
CUST00062,MSG000441,0.8202158374645917,0.6328920660368732,0.6996373437596645,0.5825265340814408,0.0850242263642658,Tier 2,45-54,iOS,Website Signup,835
CUST00037,MSG000261,0.7446570246578372,0.5074997951706757,,,0.5693927979153262,Tier 1,55+,Android,Website Signup,729
CUST00033,MSG000239,0.8669160866176514,0.7033637635338059,0.5500659254988123,,0.1066699469588806,Tier 1,25-34,iOS,In-Store,413
CUST00042,MSG000295,0.8432452828811191,0.796133778150991,0.5725343104582117,,0.0511752712456879,Tier 3,25-34,iOS,Social Ads,594
CUST00036,MSG000257,0.7795144346660137,0.6008694139979528,0.5138034888388143,0.5603126759038967,0.197217657548766,Tier 1,18-24,iOS,Referral,701
CUST00058,MSG000409,0.7802550018339488,0.490240600213594,0.4437987243919157,,0.2573802678470494,Tier 2,35-44,Android,In-Store,60
CUST00064,MSG000455,0.594070432196637,0.510187231999756,,,0.1824156299849364,Tier 2,18-24,Android,Website Signup,697
CUST00024,MSG000174,0.7316894939650654,0.8211747007812994,0.6540511594347967,,0.2253000592945315,Tier 3,25-34,iOS,Referral,588
CUST00084,MSG000595,0.5960564805090488,0.4359048662578767,,,0.1938063299025311,Tier 1,25-34,Android,Referral,148
CUST00099,MSG000706,0.8204500770764827,0.328280283849091,,,0.2434832583448002,Tier 1,18-24,Android,Referral,72
CUST00044,MSG000306,0.8859739159697533,0.4462134059398531,,,0.0872471580248039,Tier 1,25-34,Android,Referral,42
CUST00019,MSG000140,0.8562868492896,0.7020836872808285,0.6088448525788561,,0.0548745878714726,Tier 3,25-34,iOS,Website Signup,602
CUST00051,MSG000355,0.3966266458467025,,,,,Tier 1,35-44,Android,Referral,882
CUST00077,MSG000555,0.6121533202109917,0.694424826575672,0.4275484590080918,,0.2125336658313091,Tier 1,25-34,Android,Social Ads,490
CUST00046,MSG000317,0.8342299749653944,0.6091947698962402,0.456673494246085,,0.1039411173859258,Tier 3,18-24,iOS,In-Store,14
CUST00039,MSG000277,0.8945334307361378,0.6619676788860527,0.4290119128108554,,0.2367445662591527,Tier 1,35-44,Android,Website Signup,22
CUST00063,MSG000447,0.6046329040902164,0.2965831339577106,,,0.2371026555145823,Tier 2,18-24,Android,Website Signup,117
CUST00028,MSG000200,0.7595807177769576,0.5854670746450551,0.6010107277012072,0.4714148237465156,0.2846820913251763,Tier 1,18-24,Android,Referral,808
CUST00091,MSG000647,0.769598537876533,0.4820130545092864,0.4533276878394341,0.4665042143436643,0.2118675397058772,Tier 1,45-54,iOS,Referral,98
CUST00053,MSG000368,0.606328184543271,0.375770738658721,,,0.1526814530063341,Tier 2,18-24,Android,Referral,867
CUST00057,MSG000406,0.4951282712170679,0.4394454202407122,0.3608698950684539,0.6245383230640644,0.1462520216055856,Tier 2,18-24,iOS,In-Store,227
CUST00034,MSG000248,0.6482295601418296,0.4636482966300656,0.2925256154432099,,0.2219778804217058,Tier 1,25-34,Android,Social Ads,137
CUST00048,MSG000328,0.8895724987403573,0.5927703030765733,0.554103441184787,0.4138410475146651,0.2112237000415953,Tier 1,25-34,Android,Website Signup,55
CUST00011,MSG000089,0.7847336993531215,0.6029446578523647,0.562491395962835,0.3263846702544481,0.1678988248819344,Tier 1,25-34,Android,Referral,49
CUST00089,MSG000632,0.9740256856535984,0.6530824939525882,0.3126536879817106,,0.1872266151234246,Tier 1,35-44,Android,Website Signup,24
CUST00018,MSG000132,0.8005731983254059,0.3349359764728579,,,0.1078633199443502,Tier 1,35-44,Android,In-Store,104
CUST00082,MSG000587,0.5502338267023472,0.4435852703153461,,,0.3511975039292304,Tier 1,45-54,Android,Social Ads,767
CUST00006,MSG000048,0.5791665081912696,0.5845632006799303,0.6694936147996913,0.4654217823599408,0.2027457902867238,Tier 3,35-44,Android,Referral,705
CUST00014,MSG000112,0.7644688687819328,0.4102911850484643,,,0.1516209223903102,Tier 3,25-34,iOS,Website Signup,262
CUST00005,MSG000040,0.6687464470059185,0.7113100831959539,0.4853940595106067,,0.0667006404040717,Tier 1,35-44,Android,Social Ads,667
CUST00075,MSG000541,0.6594351295078291,0.6930812438101057,0.2600995115000195,,0.1280838405027497,Tier 1,18-24,Android,Website Signup,630
CUST00022,MSG000161,0.9291172704861034,0.6431929042354727,0.3867246144962529,,0.1296473568001878,Tier 1,25-34,Android,Referral,602
CUST00100,MSG000711,0.936574568316106,0.6784819770233976,0.4319613659763646,,0.0996944619960531,Tier 3,25-34,Android,Referral,558
CUST00093,MSG000665,0.8134711889973708,0.6300132502712836,,,0.2105799286695633,Tier 1,18-24,iOS,Referral,475
CUST00040,MSG000283,0.7592353082511405,0.3595720080938242,0.5060874491141841,,0.1819986102255231,Tier 2,18-24,Android,Social Ads,820
CUST00090,MSG000644,0.5835547404600434,0.2793349252794161,,,0.314006625593909,Tier 2,18-24,Android,Social Ads,250
CUST00002,MSG000015,0.7391858280947262,0.5871741528170648,0.4754303486083321,,0.0972205505705609,Tier 1,35-44,iOS,Website Signup,278
