message_id,contact_id,send_date,send_hour,day_of_week,message_type,city_tier,age_group,device_type,signup_channel,tenure_days,delivered,read,responded,converted,opted_out,time_to_read_min,time_to_response_hr
MSG000001,CUST00001,2025-03-20,18,Thursday,Promotional,Tier 2,45-54,Android,In-Store,20,1,0,0,0,0,,
MSG000002,CUST00001,2025-07-07,12,Monday,Festive Offer,Tier 2,45-54,Android,In-Store,20,1,1,1,0,0,14.1,8.03
MSG000003,CUST00001,2025-07-22,13,Tuesday,Promotional,Tier 2,45-54,Android,In-Store,20,1,1,1,1,0,8.9,2.85
MSG000004,CUST00001,2025-07-25,10,Friday,Festive Offer,Tier 2,45-54,Android,In-Store,20,1,1,1,1,0,137.8,0.08
MSG000005,CUST00001,2025-08-06,5,Wednesday,Reminder,Tier 2,45-54,Android,In-Store,20,1,1,0,0,0,131.0,
MSG000006,CUST00001,2025-08-07,8,Thursday,Feedback Request,Tier 2,45-54,Android,In-Store,20,1,1,1,0,0,49.9,1.16
MSG000007,CUST00001,2025-08-14,11,Thursday,Reminder,Tier 2,45-54,Android,In-Store,20,1,0,0,0,0,,
MSG000008,CUST00002,2025-03-21,19,Friday,Festive Offer,Tier 1,35-44,iOS,Website Signup,278,1,0,0,0,0,,
MSG000009,CUST00002,2025-04-24,8,Thursday,Promotional,Tier 1,35-44,iOS,Website Signup,278,1,1,0,0,0,31.4,
MSG000010,CUST00002,2025-05-08,9,Thursday,Festive Offer,Tier 1,35-44,iOS,Website Signup,278,1,1,0,0,0,35.1,
MSG000011,CUST00002,2025-05-14,12,Wednesday,Festive Offer,Tier 1,35-44,iOS,Website Signup,278,1,1,1,0,0,89.8,0.52
MSG000012,CUST00002,2025-07-14,14,Monday,Feedback Request,Tier 1,35-44,iOS,Website Signup,278,1,1,1,1,0,7.8,41.14
MSG000013,CUST00002,2025-07-15,14,Tuesday,Transactional,Tier 1,35-44,iOS,Website Signup,278,1,0,0,0,0,,
MSG000014,CUST00002,2025-08-01,6,Friday,Festive Offer,Tier 1,35-44,iOS,Website Signup,278,1,1,1,0,0,11.9,54.83
MSG000015,CUST00002,2025-08-04,19,Monday,Festive Offer,Tier 1,35-44,iOS,Website Signup,278,1,1,0,0,0,1.0,
MSG000016,CUST00003,2025-03-12,15,Wednesday,Transactional,Tier 3,18-24,Android,Referral,468,1,1,0,0,0,50.1,
MSG000017,CUST00003,2025-03-24,6,Monday,Feedback Request,Tier 3,18-24,Android,Referral,468,1,0,0,0,0,,
MSG000018,CUST00003,2025-03-29,14,Saturday,Transactional,Tier 3,18-24,Android,Referral,468,1,1,1,1,0,53.3,23.41
MSG000019,CUST00003,2025-05-13,13,Tuesday,Festive Offer,Tier 3,18-24,Android,Referral,468,1,0,0,0,0,,
MSG000020,CUST00003,2025-05-19,15,Monday,Transactional,Tier 3,18-24,Android,Referral,468,1,0,0,0,0,,
MSG000021,CUST00003,2025-05-24,14,Saturday,Reminder,Tier 3,18-24,Android,Referral,468,1,0,0,0,0,,
MSG000022,CUST00003,2025-06-25,8,Wednesday,Promotional,Tier 3,18-24,Android,Referral,468,1,1,0,0,0,97.5,
MSG000023,CUST00003,2025-07-23,15,Wednesday,Promotional,Tier 3,18-24,Android,Referral,468,0,0,0,0,0,,
MSG000024,CUST00003,2025-07-25,13,Friday,Reminder,Tier 3,18-24,Android,Referral,468,1,0,0,0,0,,
MSG000025,CUST00003,2025-08-09,14,Saturday,Reminder,Tier 3,18-24,Android,Referral,468,1,1,0,0,0,172.9,
MSG000026,CUST00004,2025-04-29,9,Tuesday,Promotional,Tier 2,55+,Android,Referral,827,1,0,0,0,0,,
MSG000027,CUST00004,2025-05-21,12,Wednesday,Festive Offer,Tier 2,55+,Android,Referral,827,1,1,1,1,0,13.2,5.73
MSG000028,CUST00004,2025-05-30,18,Friday,Transactional,Tier 2,55+,Android,Referral,827,1,1,1,0,0,1.0,15.52
MSG000029,CUST00004,2025-06-09,8,Monday,Festive Offer,Tier 2,55+,Android,Referral,827,0,0,0,0,0,,
MSG000030,CUST00004,2025-07-08,13,Tuesday,Promotional,Tier 2,55+,Android,Referral,827,1,0,0,0,0,,
MSG000031,CUST00004,2025-08-05,12,Tuesday,Promotional,Tier 2,55+,Android,Referral,827,1,0,0,0,0,,
MSG000032,CUST00005,2025-03-21,16,Friday,Reminder,Tier 1,35-44,Android,Social Ads,667,0,0,0,0,0,,
MSG000033,CUST00005,2025-03-29,12,Saturday,Feedback Request,Tier 1,35-44,Android,Social Ads,667,1,0,0,0,0,,
MSG000034,CUST00005,2025-04-02,15,Wednesday,Transactional,Tier 1,35-44,Android,Social Ads,667,1,1,0,0,0,41.0,
MSG000035,CUST00005,2025-05-17,16,Saturday,Transactional,Tier 1,35-44,Android,Social Ads,667,1,1,1,1,0,210.1,50.14
MSG000036,CUST00005,2025-05-23,9,Friday,Reminder,Tier 1,35-44,Android,Social Ads,667,1,1,1,0,0,170.4,15.15
MSG000037,CUST00005,2025-06-02,4,Monday,Promotional,Tier 1,35-44,Android,Social Ads,667,1,0,0,0,0,,
MSG000038,CUST00005,2025-06-14,18,Saturday,Transactional,Tier 1,35-44,Android,Social Ads,667,1,1,1,1,0,141.6,37.3
MSG000039,CUST00005,2025-07-09,15,Wednesday,Festive Offer,Tier 1,35-44,Android,Social Ads,667,1,1,1,0,0,35.6,16.75
MSG000040,CUST00005,2025-08-01,13,Friday,Transactional,Tier 1,35-44,Android,Social Ads,667,1,1,0,0,0,16.7,
MSG000041,CUST00006,2025-03-02,11,Sunday,Festive Offer,Tier 3,35-44,Android,Referral,705,1,1,1,0,0,19.1,9.11
MSG000042,CUST00006,2025-04-16,14,Wednesday,Transactional,Tier 3,35-44,Android,Referral,705,1,1,1,1,0,331.8,0.07
MSG000043,CUST00006,2025-05-10,15,Saturday,Reminder,Tier 3,35-44,Android,Referral,705,1,1,1,0,0,331.2,1.97
MSG000044,CUST00006,2025-06-10,18,Tuesday,Reminder,Tier 3,35-44,Android,Referral,705,1,1,1,1,0,17.3,18.75
MSG000045,CUST00006,2025-06-13,22,Friday,Promotional,Tier 3,35-44,Android,Referral,705,1,1,0,0,0,408.1,
MSG000046,CUST00006,2025-07-14,5,Monday,Promotional,Tier 3,35-44,Android,Referral,705,1,0,0,0,0,,
MSG000047,CUST00006,2025-07-16,14,Wednesday,Festive Offer,Tier 3,35-44,Android,Referral,705,1,1,0,0,0,91.8,
MSG000048,CUST00006,2025-07-31,10,Thursday,Festive Offer,Tier 3,35-44,Android,Referral,705,1,1,1,0,0,156.2,20.83
MSG000049,CUST00007,2025-03-06,10,Thursday,Transactional,Tier 2,25-34,Android,Website Signup,494,1,0,0,0,0,,
MSG000050,CUST00007,2025-03-20,6,Thursday,Transactional,Tier 2,25-34,Android,Website Signup,494,1,1,1,1,0,123.7,12.85
MSG000051,CUST00007,2025-04-05,11,Saturday,Promotional,Tier 2,25-34,Android,Website Signup,494,1,1,0,0,0,139.1,
MSG000052,CUST00007,2025-04-09,15,Wednesday,Festive Offer,Tier 2,25-34,Android,Website Signup,494,1,1,1,1,0,127.8,1.77
MSG000053,CUST00007,2025-04-29,14,Tuesday,Reminder,Tier 2,25-34,Android,Website Signup,494,1,0,0,0,0,,
MSG000054,CUST00007,2025-06-17,13,Tuesday,Transactional,Tier 2,25-34,Android,Website Signup,494,1,0,0,0,0,,
MSG000055,CUST00007,2025-07-25,13,Friday,Reminder,Tier 2,25-34,Android,Website Signup,494,1,1,0,0,0,34.8,
MSG000056,CUST00007,2025-08-07,8,Thursday,Festive Offer,Tier 2,25-34,Android,Website Signup,494,1,1,0,0,0,50.9,
MSG000057,CUST00007,2025-08-28,3,Thursday,Reminder,Tier 2,25-34,Android,Website Signup,494,1,1,1,0,0,37.2,9.85
MSG000058,CUST00008,2025-03-05,10,Wednesday,Promotional,Tier 2,18-24,Android,Referral,108,1,1,0,0,0,15.5,
MSG000059,CUST00008,2025-03-13,15,Thursday,Promotional,Tier 2,18-24,Android,Referral,108,1,0,0,0,0,,
MSG000060,CUST00008,2025-04-25,20,Friday,Festive Offer,Tier 2,18-24,Android,Referral,108,1,0,0,0,0,,
MSG000061,CUST00008,2025-05-19,14,Monday,Transactional,Tier 2,18-24,Android,Referral,108,1,0,0,0,0,,
MSG000062,CUST00008,2025-05-25,10,Sunday,Promotional,Tier 2,18-24,Android,Referral,108,1,1,0,0,0,266.4,
MSG000063,CUST00008,2025-06-02,20,Monday,Promotional,Tier 2,18-24,Android,Referral,108,1,0,0,0,0,,
MSG000064,CUST00008,2025-06-04,11,Wednesday,Transactional,Tier 2,18-24,Android,Referral,108,0,0,0,0,0,,
MSG000065,CUST00008,2025-07-13,11,Sunday,Promotional,Tier 2,18-24,Android,Referral,108,0,0,0,0,0,,
MSG000066,CUST00008,2025-08-08,17,Friday,Promotional,Tier 2,18-24,Android,Referral,108,1,0,0,0,0,,
MSG000067,CUST00008,2025-08-20,12,Wednesday,Feedback Request,Tier 2,18-24,Android,Referral,108,1,1,0,0,0,164.9,
MSG000068,CUST00009,2025-04-05,8,Saturday,Promotional,Tier 1,18-24,Android,Website Signup,357,1,0,0,0,0,,
MSG000069,CUST00009,2025-04-21,14,Monday,Promotional,Tier 1,18-24,Android,Website Signup,357,0,0,0,0,0,,
